,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season
29,C.Beasley,Cole Beasley,DAL,WR,6.3,2.4,7.7,11.71,36,63,57.14,314,4,3.4,3.4,0.1,2017
30,B.Lafell,Brandon LaFell,CIN,WR,6.3,2.7,8.4,18.19,52,89,58.43,548,3,5.1,5.1,0,2017
31,J.Bellamy,Josh Bellamy,CHI,WR,6.2,2.8,13,17.22,24,46,52.17,376,1,5,3.8,1.1,2017
32,T.Taylor,Trent Taylor,SF,WR,6.2,2.7,6.4,7.8,43,60,71.67,430,2,4.9,4.8,0.1,2017
33,D.Westbrook,Dede Westbrook,JAX,WR,6.2,3,11.1,14.08,27,51,52.94,339,1,4.4,4.5,-0.1,2017
34,M.Wallace,Mike Wallace,BAL,WR,6.2,2.6,13,32.26,52,92,56.52,748,4,3.6,3.8,-0.2,2017
35,T.Higbee,Tyler Higbee,LAR,TE,6.2,2.6,10,10.96,25,45,55.56,295,1,3.6,3,0.6,2017
36,K.Stills,Kenny Stills,MIA,WR,6.2,2.7,14.6,32.38,58,105,55.24,847,6,3.2,3.6,-0.4,2017
37,P.Garcon,Pierre Garcon,SF,WR,6.2,2.7,9.6,13.1,40,67,59.7,500,0,4.8,4.1,0.7,2017
38,J.Gresham,Jermaine Gresham,ARI,TE,6.2,2.9,5.9,4.74,33,46,71.74,322,2,4.7,3.9,0.8,2017
39,T.Hilton,T.Y. Hilton,IND,WR,6.1,2.5,13.1,38.35,57,109,52.29,966,4,5.4,4.6,0.8,2017
40,T.Kelce,Travis Kelce,KC,TE,6.1,2.9,9.2,27.58,83,122,68.03,1038,8,5.5,5,0.5,2017
41,M.Goodwin,Marquise Goodwin,SF,WR,6.1,2.2,15.1,32.44,56,105,53.33,962,2,3.9,3.8,0.1,2017
42,J.James,Jesse James,PIT,TE,6.1,3.3,6.8,8.08,43,63,68.25,372,3,4.6,4.5,0.1,2017
43,J.Smith-Schuster,JuJu Smith-Schuster,PIT,WR,6.1,2.7,9.5,14.14,58,79,73.42,917,7,7.2,5.2,2,2017
44,C.Davis,Corey Davis,TEN,WR,6.1,2.7,11.4,17.28,34,65,52.31,375,0,3.2,3.9,-0.7,2017
45,K.Cole,Keelan Cole,JAX,WR,6,2.5,12.7,26.28,42,83,50.6,748,3,7.5,5.7,1.8,2017
46,R.Cobb,Randall Cobb,GB,WR,6,3.7,5.8,13.39,66,92,71.74,653,4,6.7,6.2,0.5,2017
47,J.Nelson,Jordy Nelson,GB,WR,6,2.7,10.8,24.07,53,88,60.23,482,6,2.5,3.1,-0.7,2017
48,L.Fitzgerald,Larry Fitzgerald,ARI,WR,6,2.6,8.2,22.78,109,161,67.7,1156,6,4.1,4.3,-0.2,2017
49,B.Fowler,Bennie Fowler,DEN,WR,6,2.5,10.5,12.62,29,56,51.79,350,3,4,4.2,-0.2,2017
50,E.Decker,Eric Decker,TEN,WR,6,2.6,9.7,18.77,54,83,65.06,563,1,2.6,3.1,-0.5,2017
51,P.Richardson,Paul Richardson,SEA,WR,5.9,2.4,15.1,22.25,44,80,55,703,6,3.3,3.1,0.2,2017
52,B.Watson,Benjamin Watson,BAL,TE,5.9,3.3,5.1,10.79,61,79,77.22,522,4,4.6,4.9,-0.3,2017
53,E.Engram,Evan Engram,NYG,TE,5.9,2.6,8.6,22.58,64,115,55.65,722,6,5,4.7,0.3,2017
54,A.Seferian-Jenkins,Austin Seferian-Jenkins,NYJ,TE,5.9,2.9,6.5,12.61,50,74,67.57,357,3,2.7,3.5,-0.8,2017
55,G.Tate,Golden Tate,DET,WR,5.9,2.8,5.7,15.03,92,120,76.67,1003,5,7,5.3,1.7,2017
56,M.Bennett,Martellus Bennett,NE,TE,5.9,3.1,5.5,6.07,30,44,68.18,286,0,6,4.8,1.3,2017
57,T.Williams,Tyrell Williams,LAC,WR,5.9,3.1,13.5,19.56,43,69,62.32,728,4,8.2,7.2,1,2017
58,C.Hogan,Chris Hogan,NE,WR,5.9,2.7,13.2,14.81,34,59,57.63,439,5,5.3,5.1,0.3,2017
59,J.Graham,Jimmy Graham,SEA,TE,5.8,2.5,8,14.1,57,96,59.38,520,10,4,3.9,0,2017
60,D.Amendola,Danny Amendola,NE,WR,5.8,2.9,8,13.15,61,86,70.93,659,2,3.7,4.2,-0.5,2017
61,T.Jones,T.J. Jones,DET,WR,5.8,2.8,11,11.84,30,49,61.22,399,1,2.8,3.2,-0.4,2017
62,N.Agholor,Nelson Agholor,PHI,WR,5.8,3,10.2,18.33,62,95,65.26,768,8,5.3,5.2,0.1,2017
63,D.Thompson,Deonte Thompson,BUF,WR,5.8,2.5,15.1,29.93,38,69,55.07,557,2,3,3.8,-0.9,2017
64,R.Lewis,Roger Lewis,NYG,WR,5.8,2.1,10.4,17.16,36,72,50,416,2,2.4,3.2,-0.8,2017
65,M.Lee,Marqise Lee,JAX,WR,5.8,2.7,10.9,26.12,56,96,58.33,702,3,5.4,5,0.4,2017
66,E.Dickson,Ed Dickson,CAR,TE,5.8,3.9,9.6,11.18,30,48,62.5,437,1,7.1,6.4,0.7,2017
67,K.Golladay,Kenny Golladay,DET,WR,5.7,2.2,14.8,15.54,28,48,58.33,477,3,7,7.1,-0.1,2017
68,J.Landry,Jarvis Landry,MIA,WR,5.7,3.2,6.1,20.7,112,161,69.57,987,9,4.8,4.7,0,2017
69,D.Baldwin,Doug Baldwin,SEA,WR,5.7,2.8,12.5,26.77,75,116,64.66,991,8,3.7,3.9,-0.2,2017
70,K.Britt,Kenny Britt,NE,WR,5.7,2.3,12.1,9.94,20,43,46.51,256,2,4.2,3.6,0.6,2017
71,J.Brown,John Brown,ARI,WR,5.7,2.4,15.7,14.93,21,55,38.18,299,3,3,3.7,-0.7,2017
72,J.Maclin,Jeremy Maclin,BAL,WR,5.7,2.3,9.6,18.6,40,72,55.56,440,3,3.1,2.8,0.3,2017
73,M.Thomas,Michael Thomas,NO,WR,5.7,2.6,9.3,41.35,104,148,70.27,1245,5,4.6,4.3,0.3,2017
74,W.Fuller,Will Fuller,HOU,WR,5.7,2.7,15.6,14.48,28,50,56,423,7,3.9,4.8,-0.8,2017
75,A.Thielen,Adam Thielen,MIN,WR,5.7,2.7,10.8,38.39,91,142,64.08,1276,4,5,4.7,0.3,2017
76,V.Davis,Vernon Davis,WAS,TE,5.7,3.3,10.6,17.31,43,69,62.32,648,3,7.4,6.7,0.7,2017
77,C.Clay,Charles Clay,BUF,TE,5.7,3.1,6.7,12.33,49,74,66.22,558,2,5.8,6.3,-0.5,2017
78,A.Hurns,Allen Hurns,JAX,WR,5.6,2.5,9.8,13.66,39,56,69.64,484,2,4.9,5,-0.2,2017
79,S.Devalve,Seth DeValve,CLE,TE,5.6,2.9,8.7,9.44,33,58,56.9,395,1,5.3,5.3,0,2017
80,D.Moncrief,Donte Moncrief,IND,WR,5.6,2.2,14.1,17.79,26,47,55.32,391,2,3.2,3,0.2,2017
81,D.Adams,Davante Adams,GB,WR,5.6,2.8,9.4,27.93,74,117,63.25,885,10,5,4.6,0.4,2017
82,J.Kearse,Jermaine Kearse,NYJ,WR,5.6,2.8,8.9,23.97,65,102,63.73,810,5,5.1,4.4,0.7,2017
83,C.Brate,Cameron Brate,TB,TE,5.6,2.7,9.3,11.91,48,77,62.34,591,6,3.7,4,-0.3,2017
84,H.Henry,Hunter Henry,LAC,TE,5.5,3,9.3,12.12,45,62,72.58,579,4,4.9,4,0.9,2017
85,S.Roberts,Seth Roberts,OAK,WR,5.5,2.7,9.4,13.63,43,65,66.15,455,1,2.9,3.5,-0.6,2017
86,K.Benjamin,Kelvin Benjamin,BUF,WR,5.5,2,11.5,21.73,48,78,61.54,692,3,3.3,3,0.2,2017
87,K.Allen,Keenan Allen,LAC,WR,5.5,2.7,9.5,31.63,102,159,64.15,1393,6,5.3,4.8,0.5,2017
88,E.Sanders,Emmanuel Sanders,DEN,WR,5.5,2.4,10.6,21.06,47,92,51.09,555,2,4,3.1,0.9,2017
89,T.Kroft,Tyler Kroft,CIN,TE,5.4,2.9,7.8,11.82,42,62,67.74,404,7,4.9,4.1,0.8,2017
90,J.Jones,Julio Jones,ATL,WR,5.4,2.4,14.4,46,88,148,59.46,1444,3,5.9,5.3,0.5,2017
91,Z.Jones,Zay Jones,BUF,WR,5.3,2.7,13,23.83,27,74,36.49,316,2,2.9,4.1,-1.2,2017
92,C.Coleman,Corey Coleman,CLE,WR,5.3,2.3,14.7,15.86,23,58,39.66,305,2,1.4,1.8,-0.4,2017
93,M.Evans,Mike Evans,TB,WR,5.3,2.1,14.2,31.87,71,136,52.21,1004,5,2.1,2.5,-0.4,2017
94,A.Hooper,Austin Hooper,ATL,TE,5.2,3.7,6.3,8.76,49,65,75.38,526,3,5.7,4.8,0.9,2017
95,J.Doyle,Jack Doyle,IND,TE,5.2,3.4,4.9,14.13,80,108,74.07,690,4,4.5,4.8,-0.3,2017
96,B.Cooks,Brandin Cooks,NE,WR,5.2,2.7,15.1,32.86,65,114,57.02,1082,7,3.9,4.7,-0.8,2017
97,D.Parker,DeVante Parker,MIA,WR,5.2,2.3,12.3,24.87,57,96,59.38,670,1,4,4.1,-0.1,2017
98,S.Shepard,Sterling Shepard,NYG,WR,5.2,2.4,8.8,16.92,59,84,70.24,731,2,5.5,4.2,1.3,2017
99,Z.Ertz,Zach Ertz,PHI,TE,5.1,2.9,7.8,16.18,74,110,67.27,824,8,3.9,4.2,-0.3,2017
100,G.Kittle,George Kittle,SF,TE,5.1,3,7.1,9.13,43,63,68.25,515,2,6.6,5.9,0.8,2017
101,A.Jeffery,Alshon Jeffery,PHI,WR,5.1,1.8,14.5,33,57,120,47.5,789,9,3.9,3,0.9,2017
102,M.Sanu,Mohamed Sanu,ATL,WR,5.1,2.7,7.6,15.79,67,96,69.79,703,5,4.1,4.2,-0.1,2017
103,D.Bryant,Dez Bryant,DAL,WR,5.1,2.4,11.8,37.77,69,132,52.27,838,6,4.4,3.6,0.8,2017
104,S.Anderson,Stephen Anderson,HOU,TE,5,2.3,9.8,9.48,25,52,48.08,342,1,4.3,4.5,-0.2,2017
105,K.Aiken,Kamar Aiken,IND,WR,5,2.1,10.1,11.92,15,44,34.09,133,0,3.2,3.9,-0.6,2017
106,J.Cook,Jared Cook,OAK,TE,5,2.8,9,17.1,54,86,62.79,688,2,4.5,4.4,0.1,2017
107,J.Doctson,Josh Doctson,WAS,WR,5,2.2,14.2,26.31,35,78,44.87,502,6,4,3.6,0.4,2017
108,D.Njoku,David Njoku,CLE,TE,5,2.6,9.7,10.88,32,60,53.33,386,4,5.3,4.8,0.5,2017
109,D.Thomas,Demaryius Thomas,DEN,WR,5,2.3,10,30.17,83,140,59.29,949,5,3.8,3.7,0.1,2017
110,M.Crabtree,Michael Crabtree,OAK,WR,5,2.2,10.7,23.9,58,101,57.43,618,8,3.5,3.4,0.1,2017
111,A.Green,A.J. Green,CIN,WR,4.9,2.4,13.3,46.31,75,143,52.45,1078,8,4.6,4.2,0.4,2017
112,M.Lewis,Marcedes Lewis,JAX,TE,4.9,3.3,8.4,10.04,24,48,50,318,5,7.1,6.2,0.9,2017
113,K.Rudolph,Kyle Rudolph,MIN,TE,4.9,3,7.5,15.2,57,81,70.37,532,8,4.2,4.4,-0.2,2017
114,J.Witten,Jason Witten,DAL,TE,4.8,2.5,7.4,15.66,63,87,72.41,560,5,1.8,2.8,-1,2017
115,S.Watkins,Sammy Watkins,LAR,WR,4.8,2.5,14.4,24.67,39,70,55.71,593,8,5.2,4.7,0.4,2017
116,R.Higgins,Rashard Higgins,CLE,WR,4.8,3,9.7,9.05,27,50,54,312,2,5.3,4.4,1,2017
117,A.Gates,Antonio Gates,LAC,TE,4.7,2.6,8.6,9.36,30,52,57.69,316,3,3.2,3.3,-0.2,2017
118,J.Thomas,Julius Thomas,MIA,TE,4.7,3.2,7.5,9.76,41,62,66.13,388,3,4,4,0,2017
119,D.Hopkins,DeAndre Hopkins,HOU,WR,4.6,2.1,13.6,43.87,96,174,55.17,1377,13,3.7,3.1,0.6,2017
120,R.Gronkowski,Rob Gronkowski,NE,TE,4.6,2.3,11.2,22.33,69,105,65.71,1084,8,6,4.9,1,2017
121,A.Cooper,Amari Cooper,OAK,WR,4.5,2.6,11.3,24.02,48,96,50,680,7,6.6,4.9,1.8,2017
122,M.Jones,Marvin Jones,DET,WR,4.3,2.2,15.3,35.82,61,107,57.01,1101,9,3.9,3.3,0.6,2017
123,A.Brown,Antonio Brown,PIT,WR,4.3,2.6,13.7,41.89,101,163,61.96,1533,9,5.1,4.5,0.6,2017
