,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season
51,C.Clay,Charles Clay,BUF,TE,6,3,8.4,15.51,57,87,65.52,552,4,3.3,4.2,-0.9,2016
52,J.Thomas,Julius Thomas,JAX,TE,6,2.8,7.5,7,30,51,58.82,281,4,3.4,5,-1.6,2016
53,W.Fuller,Will Fuller,HOU,WR,6,2.5,16.3,27.55,47,92,51.09,630,2,4.4,3.8,0.6,2016
54,J.Brown,John Brown,ARI,WR,5.9,3,14.8,16.28,39,73,53.42,517,2,2.5,3,-0.4,2016
55,V.Cruz,Victor Cruz,NYG,WR,5.9,2.3,12.1,17.73,39,72,54.17,586,1,5,4.4,0.7,2016
56,J.Nelson,J.J. Nelson,ARI,WR,5.9,2.9,18.3,20.38,34,74,45.95,568,6,4.8,3.6,1.2,2016
57,E.Sanders,Emmanuel Sanders,DEN,WR,5.9,2.6,13.3,33.82,79,137,57.66,1032,5,3,3.4,-0.4,2016
58,J.Landry,Jarvis Landry,MIA,WR,5.8,2.9,6.5,21.64,94,131,71.76,1136,4,6.5,4.8,1.7,2016
59,J.Graham,Jimmy Graham,SEA,TE,5.8,2.7,10.2,18.84,65,95,68.42,923,6,4.9,5.4,-0.4,2016
60,R.Anderson,Robby Anderson,NYJ,WR,5.8,2.7,17,25.35,42,78,53.85,587,2,2.6,3.2,-0.7,2016
61,T.Boyd,Tyler Boyd,CIN,WR,5.8,2.8,9.3,15.62,54,81,66.67,603,1,3.8,4.8,-1,2016
62,T.Kelce,Travis Kelce,KC,TE,5.8,3,7,20.8,85,117,72.65,1125,4,7.8,6.7,1.1,2016
63,M.Floyd,Michael Floyd,NE,WR,5.8,2.4,15.6,17.82,37,76,48.68,488,5,1.7,3.2,-1.5,2016
64,M.Sanu,Mohamed Sanu,ATL,WR,5.8,2.9,8.6,14.5,59,81,72.84,653,4,4.9,5.7,-0.8,2016
65,M.Wallace,Mike Wallace,BAL,WR,5.8,2.7,12.5,27.64,72,116,62.07,1017,4,5.8,5.2,0.6,2016
66,E.Ebron,Eric Ebron,DET,TE,5.8,2.6,8.4,15.29,61,85,71.76,711,1,4.2,4.7,-0.5,2016
67,J.Nelson,Jordy Nelson,GB,WR,5.8,2.7,13,34.56,97,152,63.82,1257,14,3.7,3.6,0.1,2016
68,M.Evans,Mike Evans,TB,WR,5.8,2.2,15.5,44.04,96,173,55.49,1321,12,1.9,2.4,-0.5,2016
69,T.Burton,Trey Burton,PHI,TE,5.8,3.2,7.8,9.6,37,60,61.67,327,1,3.5,4,-0.5,2016
70,B.Perriman,Breshad Perriman,BAL,WR,5.7,2.4,14.9,18.67,33,66,50,499,3,5.2,4.6,0.6,2016
71,B.Lafell,Brandon LaFell,CIN,WR,5.7,2.7,10.9,24.32,64,107,59.81,862,6,5.2,4.7,0.4,2016
72,E.Rogers,Eli Rogers,PIT,WR,5.7,3,9.7,11.42,48,66,72.73,594,3,4.5,6.4,-1.9,2016
73,T.Williams,Tyrell Williams,LAC,WR,5.7,2.5,12.2,28.34,69,119,57.98,1059,7,6.7,7.4,-0.7,2016
74,K.Benjamin,Kelvin Benjamin,CAR,WR,5.7,1.8,12.7,24.7,63,118,53.39,941,7,3.5,3.8,-0.3,2016
75,C.Meredith,Cameron Meredith,CHI,WR,5.7,2.4,10.4,19.15,66,97,68.04,888,4,4.3,3.7,0.7,2016
76,T.Hilton,T.Y. Hilton,IND,WR,5.7,2.6,13.3,39.28,91,155,58.71,1448,6,3.6,4.4,-0.9,2016
77,D.Pitta,Dennis Pitta,BAL,TE,5.6,2.9,6.4,14.81,86,121,71.07,729,2,3.5,4.1,-0.6,2016
78,C.Coleman,Corey Coleman,CLE,WR,5.6,2.8,15.2,21.65,33,73,45.21,413,3,2.8,3.2,-0.4,2016
79,G.Tate,Golden Tate,DET,WR,5.6,2.7,8.2,23.38,91,134,67.91,1077,4,6.6,5.7,0.9,2016
80,J.Kearse,Jermaine Kearse,SEA,WR,5.6,2.4,13.2,22.83,41,89,46.07,510,1,3.3,4.2,-0.9,2016
81,D.Moncrief,Donte Moncrief,IND,WR,5.6,2.4,11.1,11.83,30,56,53.57,307,7,2.5,2.7,-0.1,2016
82,J.Reed,Jordan Reed,WAS,TE,5.6,3.3,8.2,12.8,66,89,74.16,686,6,3.8,4,-0.2,2016
83,T.Pryor,Terrelle Pryor,CLE,WR,5.6,2.8,14.7,40.1,77,140,55,1007,4,2.4,3.3,-1,2016
84,V.Mcdonald,Vance McDonald,SF,TE,5.6,2.5,10.5,11.14,24,45,53.33,391,4,8.7,6.5,2.3,2016
85,S.Watkins,Sammy Watkins,BUF,WR,5.6,2.5,15.1,16.64,28,52,53.85,430,2,1.1,3,-1.9,2016
86,J.Witten,Jason Witten,DAL,TE,5.6,3,6.9,15.69,69,95,72.63,673,3,3.4,3.7,-0.3,2016
87,L.Kendricks,Lance Kendricks,LAR,TE,5.5,2.6,5.4,10.98,50,87,57.47,499,2,5.2,5.1,0.1,2016
88,J.Gresham,Jermaine Gresham,ARI,TE,5.5,3,8.2,7.52,37,61,60.66,391,2,3.8,3.5,0.3,2016
89,G.Olsen,Greg Olsen,CAR,TE,5.5,2.8,11.5,24.32,80,129,62.02,1073,3,4.3,5.1,-0.8,2016
90,C.Fiedorowicz,C.J. Fiedorowicz,HOU,TE,5.5,2.3,7.3,11.97,54,89,60.67,559,4,3.8,4,-0.2,2016
91,S.Diggs,Stefon Diggs,MIN,WR,5.5,2.8,9.1,24.84,84,112,75,896,3,3.5,3.7,-0.3,2016
92,J.Matthews,Jordan Matthews,PHI,WR,5.4,2.8,10.7,25.82,73,117,62.39,804,3,3.2,4.5,-1.3,2016
93,C.Fleener,Coby Fleener,NO,TE,5.4,2.5,9.9,15.81,50,81,61.73,631,3,4.1,4.8,-0.6,2016
94,T.Eifert,Tyler Eifert,CIN,TE,5.4,2.6,9.2,8.99,29,47,61.7,394,5,5.1,5.8,-0.7,2016
95,M.Mitchell,Malcolm Mitchell,NE,WR,5.4,2.6,11.1,11.97,32,48,66.67,401,4,5.1,4,1.1,2016
96,R.Cobb,Randall Cobb,GB,WR,5.4,3.4,7.5,10.94,60,84,71.43,610,4,5.8,5.2,0.6,2016
97,C.Hogan,Chris Hogan,NE,WR,5.4,3.2,13.7,17.78,38,58,65.52,680,4,6.7,5.9,0.8,2016
98,C.Brate,Cameron Brate,TB,TE,5.3,2.5,10.2,13.56,57,81,70.37,660,8,2.6,3.4,-0.8,2016
99,A.Thielen,Adam Thielen,MIN,WR,5.3,2.8,11,24.71,69,92,75,967,5,4.4,5.1,-0.8,2016
100,G.Barnidge,Gary Barnidge,CLE,TE,5.3,2.7,7.7,12.26,55,82,67.07,612,2,3.7,4.4,-0.7,2016
101,S.Shepard,Sterling Shepard,NYG,WR,5.3,2.7,9.3,19.99,65,105,61.9,683,8,4.2,4.8,-0.6,2016
102,Z.Miller,Zach Miller,CHI,TE,5.3,2.9,6.8,8.24,47,64,73.44,486,4,4.7,4.4,0.2,2016
103,J.Doyle,Jack Doyle,IND,TE,5.3,3.3,6.8,9.81,59,75,78.67,584,5,4.1,4.8,-0.7,2016
104,D.Bryant,Dez Bryant,DAL,WR,5.2,1.8,15.5,35.41,50,96,52.08,796,8,2.7,3.5,-0.8,2016
105,O.Beckham,Odell Beckham,NYG,WR,5.2,2.8,11.4,39.16,101,169,59.76,1367,10,5.2,4.6,0.6,2016
106,D.Allen,Dwayne Allen,IND,TE,5.2,3,9.4,9.36,35,52,67.31,406,6,3.4,4.4,-1,2016
107,K.Aiken,Kamar Aiken,BAL,WR,5.2,3.4,12.1,11.54,29,50,58,328,1,3.5,4.7,-1.1,2016
108,J.James,Jesse James,PIT,TE,5.2,3.5,7.1,7.57,39,60,65,338,3,3.4,4,-0.6,2016
109,A.Boldin,Anquan Boldin,DET,WR,5.2,2.4,6.7,13.62,67,95,70.53,584,8,3.1,3.5,-0.3,2016
110,A.Hawkins,Andrew Hawkins,CLE,WR,5.1,3,8.6,9.04,33,54,61.11,324,3,3.9,3.6,0.3,2016
111,A.Brown,Antonio Brown,PIT,WR,5.1,2.9,11.1,30.44,106,154,68.83,1284,12,3.8,4.5,-0.7,2016
112,J.Jones,Julio Jones,ATL,WR,5.1,2.2,14.5,38.78,83,129,64.34,1409,6,4.8,5.2,-0.3,2016
113,R.Griffin,Ryan Griffin,HOU,TE,5.1,3,7.2,9.71,50,74,67.57,442,2,3,4,-1,2016
114,P.Garcon,Pierre Garcon,WAS,WR,5.1,2.7,10.9,21.67,79,114,69.3,1041,3,4.3,4.1,0.2,2016
115,C.Walford,Clive Walford,OAK,TE,5,3.6,9.1,9.55,33,52,63.46,359,3,4,5.3,-1.3,2016
116,D.Parker,DeVante Parker,MIA,WR,4.9,2.3,12.5,27.76,56,87,64.37,744,4,4.3,4.4,-0.1,2016
117,G.Celek,Garrett Celek,SF,TE,4.9,2.6,9.6,11.27,29,50,58,350,3,4.2,4.3,-0.1,2016
118,A.Jeffery,Alshon Jeffery,CHI,WR,4.9,2.2,14.1,25.16,52,94,55.32,813,2,3.6,3.5,0.1,2016
119,J.Cook,Jared Cook,GB,TE,4.9,2.9,10.6,9.43,30,51,58.82,377,1,4.9,5.8,-0.9,2016
120,K.Britt,Kenny Britt,LAR,WR,4.9,2.3,12.7,33.05,68,111,61.26,1002,5,4.1,4.1,0,2016
121,M.Thomas,Michael Thomas,NO,WR,4.8,2.4,8.4,20.03,92,121,76.03,1137,9,5,4.6,0.4,2016
122,H.Henry,Hunter Henry,LAC,TE,4.8,2.8,9.5,9.88,36,53,67.92,478,8,5.6,4.6,1,2016
123,A.Green,A.J. Green,CIN,WR,4.8,2.5,13.4,27.83,66,100,66,964,4,4,4.8,-0.8,2016
124,S.Roberts,Seth Roberts,OAK,WR,4.8,2.5,9.3,14.5,38,77,49.35,397,5,5.3,4.6,0.7,2016
125,D.Thomas,Demaryius Thomas,DEN,WR,4.7,2.1,11.1,29.62,90,144,62.5,1083,5,3.4,3.6,-0.2,2016
126,D.Adams,Davante Adams,GB,WR,4.6,2.9,12.3,26.03,75,121,61.98,997,12,5.4,5.3,0.1,2016
127,A.Cooper,Amari Cooper,OAK,WR,4.6,2.6,10.1,27,83,132,62.88,1153,5,5.5,5.4,0.1,2016
128,A.Robinson,Allen Robinson,JAX,WR,4.6,1.9,14.1,38.96,73,151,48.34,883,6,2.8,3.9,-1.1,2016
129,B.Marshall,Brandon Marshall,NYJ,WR,4.5,2.2,13.6,33.26,59,128,46.09,788,3,3,4.7,-1.8,2016
130,D.Hopkins,DeAndre Hopkins,HOU,WR,4.4,2.3,12.7,35.17,78,151,51.66,954,4,3,2.7,0.3,2016
131,M.Jones,Marvin Jones,DET,WR,3.8,2,14.7,32.2,55,103,53.4,930,4,4.3,3.8,0.5,2016
