,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,desc
10,J.Crowder,Jamison Crowder,WAS,WR,20.68,25,rush,0,0,2018,REG,2,(4:17) T.Ginn right end ran ob at ATL 33 for 20 yards (R.Allen).
11,T.Ginn,Ted Ginn,NO,WR,21.27,20,rush,0,0,2018,REG,3,(4:17) T.Ginn right end ran ob at ATL 33 for 20 yards (R.Allen).
12,A.Green,A.J. Green,CIN,WR,20.95,38,reception,1,0,2018,REG,1,"(12:06) (Punt formation) M.Haack punts 59 yards to OAK 9, Center-J.Denney. D.Rodgers-Cromartie to OAK 8 for -1 yards (J.Denney). PENALTY on OAK-D.Harris, Illegal Block Above the Waist, 4 yards, enforced at OAK 8."
13,D.Jackson,DeSean Jackson,TB,WR,20.5,75,reception,1,0,2018,REG,2,"(12:06) (Punt formation) M.Haack punts 59 yards to OAK 9, Center-J.Denney. D.Rodgers-Cromartie to OAK 8 for -1 yards (J.Denney). PENALTY on OAK-D.Harris, Illegal Block Above the Waist, 4 yards, enforced at OAK 8."
14,D.Rodgers-Cromartie,Dominique Rodgers-Cromartie,OAK,CB,21.07,0,punt ret,0,1,2018,REG,3,"(12:06) (Punt formation) M.Haack punts 59 yards to OAK 9, Center-J.Denney. D.Rodgers-Cromartie to OAK 8 for -1 yards (J.Denney). PENALTY on OAK-D.Harris, Illegal Block Above the Waist, 4 yards, enforced at OAK 8."
15,I.Crowell,Isaiah Crowell,NYJ,RB,20.95,62,rush,1,0,2018,REG,1,(14:56) D.Carr pass short middle to J.Nelson pushed ob at MIA 14 for 61 yards (J.Baker) [A.Spence].
16,S.Diggs,Stefon Diggs,MIN,WR,20.48,75,reception,1,0,2018,REG,2,(14:56) D.Carr pass short middle to J.Nelson pushed ob at MIA 14 for 61 yards (J.Baker) [A.Spence].
17,J.Nelson,Jordy Nelson,OAK,WR,21.05,61,reception,0,0,2018,REG,3,(14:56) D.Carr pass short middle to J.Nelson pushed ob at MIA 14 for 61 yards (J.Baker) [A.Spence].
18,J.Smith-Schuster,JuJu Smith-Schuster,PIT,WR,20.93,67,reception,0,0,2018,REG,1,"(4:50) P.Rivers pass deep middle to M.Williams for 42 yards, TOUCHDOWN."
19,J.Natson,JoJo Natson,LAR,WR,20.39,17,punt ret,0,0,2018,REG,2,"(4:50) P.Rivers pass deep middle to M.Williams for 42 yards, TOUCHDOWN."
20,M.Williams,Mike Williams,LAC,WR,21.05,42,reception,1,0,2018,REG,3,"(4:50) P.Rivers pass deep middle to M.Williams for 42 yards, TOUCHDOWN."
21,J.Grant,Jakeem Grant,MIA,WR,20.93,102,kickoff ret,1,0,2018,REG,1,(9:08) (Shotgun) D.Carr pass deep left to J.Nelson to MIA 8 for 66 yards (M.Fitzpatrick).
22,B.Cooks,Brandin Cooks,LAR,WR,20.35,57,reception,0,0,2018,REG,2,(9:08) (Shotgun) D.Carr pass deep left to J.Nelson to MIA 8 for 66 yards (M.Fitzpatrick).
23,J.Nelson,Jordy Nelson,OAK,WR,20.97,66,reception,0,0,2018,REG,3,(9:08) (Shotgun) D.Carr pass deep left to J.Nelson to MIA 8 for 66 yards (M.Fitzpatrick).
24,D.Jennings,Darius Jennings,TEN,WR,20.64,94,kickoff ret,1,0,2018,REG,1,"(2:23) (Shotgun) M.Ryan pass deep right to C.Ridley for 75 yards, TOUCHDOWN."
25,T.Pryor,Terrelle Pryor,NYJ,WR,20.35,44,reception,0,0,2018,REG,2,"(2:23) (Shotgun) M.Ryan pass deep right to C.Ridley for 75 yards, TOUCHDOWN."
26,C.Ridley,Calvin Ridley,ATL,WR,20.9,75,reception,1,0,2018,REG,3,"(2:23) (Shotgun) M.Ryan pass deep right to C.Ridley for 75 yards, TOUCHDOWN."
27,D.Jackson,DeSean Jackson,TB,WR,20.45,58,reception,1,0,2018,REG,1,"(3:02) A.Dalton pass incomplete deep left to A.Green. Cincinnati challenged the incomplete pass ruling, and the play was REVERSED. A.Dalton pass deep left to A.Green ran ob at CAR 44 for 31 yards."
28,T.Ginn,Ted Ginn,NO,WR,20.35,42,reception,0,0,2018,REG,2,"(3:02) A.Dalton pass incomplete deep left to A.Green. Cincinnati challenged the incomplete pass ruling, and the play was REVERSED. A.Dalton pass deep left to A.Green ran ob at CAR 44 for 31 yards."
29,A.Green,A.J. Green,CIN,WR,20.88,31,reception,0,0,2018,REG,3,"(3:02) A.Dalton pass incomplete deep left to A.Green. Cincinnati challenged the incomplete pass ruling, and the play was REVERSED. A.Dalton pass deep left to A.Green ran ob at CAR 44 for 31 yards."
30,D.Jackson,DeSean Jackson,TB,WR,20.41,36,reception,1,1,2018,REG,1,(8:24) M.Breida left tackle pushed ob at KC 49 for 26 yards (E.Murray).
31,T.Coleman,Tevin Coleman,ATL,RB,20.31,36,rush,0,0,2018,REG,2,(8:24) M.Breida left tackle pushed ob at KC 49 for 26 yards (E.Murray).
32,M.Breida,Matt Breida,SF,RB,20.8,26,rush,0,0,2018,REG,3,(8:24) M.Breida left tackle pushed ob at KC 49 for 26 yards (E.Murray).
33,T.Lockett,Tyler Lockett,SEA,WR,20.35,51,reception,1,0,2018,REG,1,"(6:58) J.Goff pass short left to T.Gurley pushed ob at LAC 15 for 45 yards (C.Hayward). PENALTY on LA-R.Woods, Offensive Holding, 10 yards, enforced at LAC 35."
34,O.Howard,O.J. Howard,TB,TE,20.31,75,reception,1,0,2018,REG,2,"(6:58) J.Goff pass short left to T.Gurley pushed ob at LAC 15 for 45 yards (C.Hayward). PENALTY on LA-R.Woods, Offensive Holding, 10 yards, enforced at LAC 35."
35,T.Gurley,Todd Gurley,LAR,RB,20.72,25,reception,0,1,2018,REG,3,"(6:58) J.Goff pass short left to T.Gurley pushed ob at LAC 15 for 45 yards (C.Hayward). PENALTY on LA-R.Woods, Offensive Holding, 10 yards, enforced at LAC 35."
36,K.Stills,Kenny Stills,MIA,WR,20.25,75,reception,1,0,2018,REG,1,(9:19) (Run formation) S.Barkley right guard pushed ob at HST 24 for 24 yards (T.Mathieu).
37,C.Hogan,Chris Hogan,NE,WR,20.29,29,reception,1,0,2018,REG,2,(9:19) (Run formation) S.Barkley right guard pushed ob at HST 24 for 24 yards (T.Mathieu).
38,S.Barkley,Saquon Barkley,NYG,RB,20.66,24,rush,0,0,2018,REG,3,(9:19) (Run formation) S.Barkley right guard pushed ob at HST 24 for 24 yards (T.Mathieu).
39,M.Breida,Matt Breida,SF,RB,20.19,-1,rush,0,0,2018,REG,1,"(10:11) (Shotgun) J.Allen scrambles left end for 10 yards, TOUCHDOWN."
40,T.Williams,Tyrell Williams,LAC,WR,20.23,18,reception,0,0,2018,REG,2,"(10:11) (Shotgun) J.Allen scrambles left end for 10 yards, TOUCHDOWN."
41,J.Allen,Josh Allen,BUF,QB,20.6,10,rush,1,0,2018,REG,3,"(10:11) (Shotgun) J.Allen scrambles left end for 10 yards, TOUCHDOWN."
42,M.Evans,Mike Evans,TB,WR,20.15,50,reception,1,0,2018,REG,1,(5:22) (Shotgun) C.McCaffrey up the middle to CIN 6 for 45 yards (J.Bates).
43,E.Elliott,Ezekiel Elliott,DAL,RB,20.15,19,rush,0,0,2018,REG,2,(5:22) (Shotgun) C.McCaffrey up the middle to CIN 6 for 45 yards (J.Bates).
44,C.Mccaffrey,Christian McCaffrey,CAR,RB,20.48,45,rush,0,0,2018,REG,3,(5:22) (Shotgun) C.McCaffrey up the middle to CIN 6 for 45 yards (J.Bates).
45,N.Hines,Nyheim Hines,IND,RB,20.05,4,rush,0,0,2018,REG,1,(13:36) Ty.Williams left end to LA 10 for 14 yards (N.Robey; S.Ebukam).
46,D.Cruikshank,Dane Cruikshank,TEN,DB,20.15,66,reception,1,0,2018,REG,2,(13:36) Ty.Williams left end to LA 10 for 14 yards (N.Robey; S.Ebukam).
47,T.Williams,Tyrell Williams,LAC,WR,20.41,14,rush,0,0,2018,REG,3,(13:36) Ty.Williams left end to LA 10 for 14 yards (N.Robey; S.Ebukam).
48,P.Cooper,Pharoh Cooper,LAR,WR,20.03,12,punt ret,0,0,2018,REG,1,(6:09) T.Austin right end pushed ob at DAL 40 for 18 yards (M.Kendricks).
49,P.Amukamara,Prince Amukamara,CHI,CB,20.09,49,int,1,0,2018,REG,2,(6:09) T.Austin right end pushed ob at DAL 40 for 18 yards (M.Kendricks).
50,T.Austin,Tavon Austin,DAL,WR,20.25,18,rush,0,0,2018,REG,3,(6:09) T.Austin right end pushed ob at DAL 40 for 18 yards (M.Kendricks).
51,T.Cohen,Tarik Cohen,CHI,RB,19.96,42,punt ret,0,0,2018,REG,1,(6:28) A.Peterson right end pushed ob at GB 19 for 41 yards (H.Clinton-Dix; B.Martinez).
52,C.Newton,Cam Newton,CAR,QB,20.07,10,rush,0,0,2018,REG,2,(6:28) A.Peterson right end pushed ob at GB 19 for 41 yards (H.Clinton-Dix; B.Martinez).
53,A.Peterson,Adrian Peterson,WAS,RB,20.25,41,rush,0,0,2018,REG,3,(6:28) A.Peterson right end pushed ob at GB 19 for 41 yards (H.Clinton-Dix; B.Martinez).
54,S.Barkley,Saquon Barkley,NYG,RB,19.82,68,rush,1,0,2018,REG,1,(7:31) (Shotgun) E.Manning pass short left to S.Shepard pushed ob at NYG 46 for 23 yards (J.Joseph).
55,R.Anderson,Robby Anderson,NYJ,WR,20.03,17,reception,0,0,2018,REG,2,(7:31) (Shotgun) E.Manning pass short left to S.Shepard pushed ob at NYG 46 for 23 yards (J.Joseph).
56,S.Shepard,Sterling Shepard,NYG,WR,20.25,23,reception,0,0,2018,REG,3,(7:31) (Shotgun) E.Manning pass short left to S.Shepard pushed ob at NYG 46 for 23 yards (J.Joseph).
57,T.Coleman,Tevin Coleman,ATL,RB,19.76,26,reception,0,0,2018,REG,1,"(:53) C.Johnston punts 52 yards to IND 19, Center-R.Lovato. T.Hilton ran ob at IND 29 for 10 yards. PENALTY on IND-G.Odum, Offensive Holding, 10 yards, enforced at IND 21. Penalty on IND-G.Odum, Illegal Block Above the Waist, declined."
58,J.Agnew,Jamal Agnew,DET,CB,19.98,4,punt ret,0,1,2018,REG,2,"(:53) C.Johnston punts 52 yards to IND 19, Center-R.Lovato. T.Hilton ran ob at IND 29 for 10 yards. PENALTY on IND-G.Odum, Offensive Holding, 10 yards, enforced at IND 21. Penalty on IND-G.Odum, Illegal Block Above the Waist, declined."
59,T.Hilton,T.Y. Hilton,IND,WR,20.15,2,punt ret,0,1,2018,REG,3,"(:53) C.Johnston punts 52 yards to IND 19, Center-R.Lovato. T.Hilton ran ob at IND 29 for 10 yards. PENALTY on IND-G.Odum, Offensive Holding, 10 yards, enforced at IND 21. Penalty on IND-G.Odum, Illegal Block Above the Waist, declined."
