,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
59,M.Hardman,Mecole Hardman,KC,WR,19.9,14,reception,0,0,2019,REG,3,2019092204,1291,2,10:02,(10:02) (Shotgun) P.Mahomes pass short left to M.Hardman ran ob at BAL 33 for 14 yards (T.Bowser).
60,D.Adams,Davante Adams,GB,WR,20.68,58,reception,0,0,2019,REG,4,2019092600,253,1,11:52,(11:52) (Shotgun) A.Rodgers pass deep right to D.Adams to PHI 7 for 58 yards (S.Jones).
61,M.Sanders,Miles Sanders,PHI,RB,20.03,67,kickoff ret,0,0,2019,REG,4,2019092600,963,2,,M.Crosby kicks 66 yards from GB 35 to PHI -1. M.Sanders to GB 34 for 67 yards (M.Crosby).
62,M.Sanders,Miles Sanders,PHI,RB,19.19,30,rush,0,0,2019,REG,4,2019092600,3101,3,03:16,(3:16) M.Sanders left end to GB 45 for 30 yards (D.Savage).
63,M.Valdes-Scantling,Marquez Valdes-Scantling,GB,WR,19.08,4,reception,0,1,2019,REG,4,2019092600,621,1,05:20,"(5:20) A.Rodgers pass short right to M.Valdes-Scantling to GB 18 for 4 yards (S.Jones). PENALTY on PHI-Z.Brown, Face Mask (15 Yards), 15 yards, enforced at GB 18."
64,G.Allison,Geronimo Allison,GB,WR,18.39,7,rush,0,0,2019,REG,4,2019092600,685,1,04:20,(4:20) G.Allison left end to PHI 49 for 7 yards (N.Bradham; R.Douglas).
65,A.Jones,Aaron Jones,GB,RB,18.16,0,rush,0,0,2019,REG,4,2019092600,780,1,01:41,(1:41) A.Jones left end ran ob at PHI 26 for no gain (R.Douglas).
66,J.Howard,Jordan Howard,PHI,RB,17.9,20,reception,1,0,2019,REG,4,2019092600,2634,3,09:18,"(9:18) (Shotgun) C.Wentz pass short left to J.Howard for 20 yards, TOUCHDOWN."
67,J.Howard,Jordan Howard,PHI,RB,17.69,19,rush,0,0,2019,REG,4,2019092600,72,1,14:23,(14:23) (Shotgun) J.Howard right tackle pushed ob at PHI 48 for 19 yards (W.Redmond).
68,A.Jones,Aaron Jones,GB,RB,17.51,-2,rush,0,0,2019,REG,4,2019092600,1199,2,11:43,(11:43) A.Jones left end to GB 22 for -2 yards (A.Sendejo).
69,D.Adams,Davante Adams,GB,WR,17.39,4,reception,0,0,2019,REG,4,2019092600,294,1,11:11,(11:11) (Shotgun) A.Rodgers pass short middle to D.Adams to PHI 3 for 4 yards (R.McLeod).
70,T.Smith,Tremon Smith,GB,WR,17.3,25,kickoff ret,0,0,2019,REG,4,2019092600,1177,2,,J.Elliott kicks 66 yards from PHI 35 to GB -1. T.Smith to GB 24 for 25 yards (C.James).
71,J.Howard,Jordan Howard,PHI,RB,17.26,10,rush,0,0,2019,REG,4,2019092600,1859,2,01:19,(1:19) (Shotgun) J.Howard left tackle to GB 4 for 10 yards (T.Williams; W.Redmond).
72,N.Bradham,Nigel Bradham,PHI,OLB,17.18,22,int,0,0,2019,REG,4,2019092600,4244,4,00:28,(:28) (Shotgun) A.Rodgers pass short middle intended for M.Valdes-Scantling INTERCEPTED by N.Bradham (C.James) at PHI -1. N.Bradham to PHI 21 for 22 yards (D.Shepherd).
73,A.Rodgers,Aaron Rodgers,GB,QB,17.08,4,rush,0,0,2019,REG,4,2019092600,2086,2,00:44,(:44) (Shotgun) A.Rodgers scrambles left end ran ob at 50 for 4 yards (D.Barnett).
74,C.Wentz,Carson Wentz,PHI,QB,16.9,5,rush,0,0,2019,REG,4,2019092600,1604,2,04:43,(4:43) (Shotgun) C.Wentz scrambles left end to GB 9 for 5 yards (W.Redmond).
75,D.Adams,Davante Adams,GB,WR,16.65,40,reception,0,1,2019,REG,4,2019092600,1244,2,10:20,"(10:20) (Shotgun) A.Rodgers pass short right to D.Adams to PHI 36 for 40 yards (R.McLeod; D.Barnett). Penalty on PHI-K.Grugier-Hill, Defensive Offside, declined. PENALTY on PHI-R.McLeod, Face Mask (15 Yards), 15 yards, enforced at PHI 36."
76,A.Rodgers,Aaron Rodgers,GB,QB,16.45,14,rush,0,0,2019,REG,4,2019092600,2909,3,06:44,(6:44) (Shotgun) A.Rodgers scrambles up the middle to GB 42 for 14 yards (M.Jenkins).
77,G.Allison,Geronimo Allison,GB,WR,16.38,31,reception,0,0,2019,REG,4,2019092600,2134,2,00:31,(:31) (Shotgun) A.Rodgers pass deep middle to G.Allison to PHI 19 for 31 yards (J.Cyprien).
78,A.Rodgers,Aaron Rodgers,GB,QB,16.38,14,rush,0,0,2019,REG,4,2019092600,3399,4,13:31,(13:31) (Shotgun) A.Rodgers scrambles right end to GB 44 for 14 yards (A.Maddox).
79,C.Wentz,Carson Wentz,PHI,QB,16.16,6,rush,0,0,2019,REG,4,2019092600,480,1,07:48,"(7:48) (No Huddle, Shotgun) C.Wentz scrambles left end to GB 47 for 6 yards (A.Amos)."
