,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,desc
267,B.Breeland,Bashaud Breeland,WAS,CB,20.03,96,int,1,0,2017,REG,14,2017121010,,"Q4 (2:55) (Shotgun) K.Clemens pass short left intended for M.Williams INTERCEPTED by B.Breeland [M.Ioannidis] at WAS 4. B.Breeland for 96 yards, TOUCHDOWN."
268,D.Baldwin,Doug Baldwin,SEA,WR,19.98,43,reception,0,0,2017,REG,14,2017121005,,Q3 (9:45) (Shotgun) R.Wilson pass deep left to D.Baldwin ran ob at JAX 12 for 43 yards.
269,C.Newton,Cam Newton,CAR,QB,19.8,62,rush,0,0,2017,REG,14,2017121001,,Q4 (2:33) (Shotgun) C.Newton up the middle to MIN 8 for 62 yards (T.Waynes).
270,C.Hyde,Carlos Hyde,SF,RB,19.8,31,rush,0,0,2017,REG,14,2017121004,,Q2 (:48) (Shotgun) C.Hyde left end ran ob at HOU 48 for 31 yards.
271,M.Breida,Matt Breida,SF,RB,19.8,4,rush,0,0,2017,REG,14,2017121004,,Q3 (5:02) M.Breida left end pushed ob at SF 19 for 4 yards (Z.Cunningham).
272,T.Williams,Tyrell Williams,LAC,WR,19.76,75,reception,1,0,2017,REG,14,2017121010,,"Q2 (10:13) P.Rivers pass deep middle to Ty.Williams for 75 yards, TOUCHDOWN."
273,T.Gurley,Todd Gurley,LA,RB,19.74,4,rush,0,1,2017,REG,14,2017121011,,"Q4 (15:00) T.Gurley left end pushed ob at PHI 14 for 4 yards (R.Darby). PENALTY on PHI-T.Jernigan, Illegal Use of Hands, 5 yards, enforced at PHI 14."
274,R.Smith,Rod Smith,DAL,RB,19.72,81,reception,1,0,2017,REG,14,2017121012,,"Q4 (4:21) (Shotgun) D.Prescott pass short middle to R.Smith for 81 yards, TOUCHDOWN."
275,A.Bouye,A.J. Bouye,JAX,CB,19.7,0,int,0,1,2017,REG,14,2017121005,,"Q3 (14:46) (Shotgun) R.Wilson pass deep right intended for J.Graham INTERCEPTED by A.Bouye at JAX 43. A.Bouye pushed ob at JAX 43 for no gain (J.Graham). PENALTY on SEA-J.Graham, Unnecessary Roughness, 15 yards, enforced at JAX 43."
276,C.Williams,Chad Williams,ARI,WR,19.53,33,rush,0,0,2017,REG,14,2017121008,,Q4 (9:59) C.Williams right end pushed ob at ARI 48 for 33 yards (K.Byard).
