,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,desc
0,K.Hunt,Kareem Hunt,KC,RB,20.84,58,rush,0,0,2017,REG,1,2017090700,4465,(4:15) (Shotgun) K.Hunt left end pushed ob at NE 21 for 58 yards (D.McCourty).
1,T.Hill,Tyreek Hill,KC,WR,20.82,75,reception,1,0,2017,REG,1,2017090700,2756,"(9:28) (Shotgun) A.Smith pass deep right to T.Hill for 75 yards, TOUCHDOWN."
2,J.Maclin,Jeremy Maclin,BAL,WR,20.6,48,reception,1,0,2017,REG,1,2017091002,1622,"(2:00) (Shotgun) J.Flacco pass short middle to J.Maclin for 48 yards, TOUCHDOWN."
3,T.Benjamin,Travis Benjamin,LAC,WR,20.56,38,reception,1,0,2017,REG,1,2017091101,3164,"(7:07) (Shotgun) P.Rivers pass deep left to T.Benjamin for 38 yards, TOUCHDOWN."
4,D.Cook,Dalvin Cook,MIN,RB,20.45,33,rush,0,0,2017,REG,1,2017091100,3939,(1:42) (Shotgun) D.Cook right end to NO 12 for 33 yards (A.Klein).
5,D.Cook,Dalvin Cook,MIN,RB,19.98,32,rush,0,0,2017,REG,1,2017091100,2998,(15:00) (Shotgun) D.Cook right end to NO 16 for 32 yards (A.Klein).
6,B.Cooks,Brandin Cooks,NE,WR,19.9,54,reception,0,0,2017,REG,1,2017090700,3409,"(2:50) (Shotgun) T.Brady pass deep left to B.Cooks to KC 18 for 54 yards (T.Mitchell). Penalty on KC-P.Gaines, Defensive Holding, declined."
7,C.Latimer,Cody Latimer,DEN,WR,19.84,36,kickoff ret,0,0,2017,REG,1,2017091101,3070,Y.Koo kicks 78 yards from LAC 20 to DEN 2. C.Latimer to DEN 38 for 36 yards (J.Onwualu).
8,L.Fitzgerald,Larry Fitzgerald,ARI,WR,19.74,33,reception,0,0,2017,REG,1,2017091004,1200,(11:53) (Shotgun) C.Palmer pass short middle to L.Fitzgerald pushed ob at DET 42 for 33 yards (Q.Diggs).
9,L.Mccoy,LeSean McCoy,BUF,RB,19.66,23,rush,0,0,2017,REG,1,2017091000,,(15:00) (Shotgun) L.McCoy right end pushed ob at NYJ 34 for 23 yards (M.Maye).
10,L.Joyner,Lamarcus Joyner,LA,CB,19.62,29,int,1,0,2017,REG,1,2017091009,2479,"(7:23) (Shotgun) S.Tolzien pass short left intended for T.Hilton INTERCEPTED by L.Joyner at IND 29. L.Joyner for 29 yards, TOUCHDOWN."
11,T.Gipson,Tashaun Gipson,JAX,FS,19.6,67,int,0,0,2017,REG,1,2017091005,,(3:45) (Shotgun) D.Watson pass short middle intended for S.Anderson INTERCEPTED by T.Gipson at JAX 6. T.Gipson to HST 27 for 67 yards (D.Watson).
12,J.Matthews,Jordan Matthews,BUF,WR,19.55,47,reception,0,0,2017,REG,1,2017091000,2598,"(8:36) T.Taylor pass short middle to J.Matthews pushed ob at NYJ 17 for 47 yards (M.Maye). Caught at BUF 43, crossing from right."
13,I.Mckenzie,Isaiah McKenzie,DEN,WR,19.47,31,punt ret,0,0,2017,REG,1,2017091101,1262,"(10:20) D.Kaser punts 59 yards to DEN 13, Center-M.Windt. I.McKenzie ran ob at DEN 44 for 31 yards."
14,K.Golladay,Kenny Golladay,DET,WR,19.43,45,reception,1,0,2017,REG,1,2017091004,4028,"(4:22) M.Stafford pass deep middle to K.Golladay for 45 yards, TOUCHDOWN."
15,A.Roberts,Andre Roberts,ATL,WR,19.39,11,kickoff ret,0,1,2017,REG,1,2017091001,36,"C.Barth kicks 60 yards from CHI 35 to ATL 5. A.Roberts pushed ob at CHI 32 for 63 yards (C.LeBlanc). PENALTY on ATL-K.Ishmael, Illegal Block Above the Waist, 8 yards, enforced at ATL 16."
16,R.Grant,Ryan Grant,WAS,WR,19.37,34,reception,0,0,2017,REG,1,2017091008,338,(11:23) (Shotgun) K.Cousins pass short left to R.Grant pushed ob at PHI 41 for 34 yards (R.McLeod).
17,C.Carson,Chris Carson,SEA,RB,19.27,30,rush,0,0,2017,REG,1,2017091010,2468,"(8:28) C.Carson up the middle to GB 30 for 30 yards (Q.Rollins, K.Brice)."
18,J.Mckinnon,Jerick McKinnon,MIN,RB,19.27,31,kickoff ret,0,0,2017,REG,1,2017091100,1415,W.Lutz kicks 70 yards from NO 35 to MIN -5. J.McKinnon to MIN 26 for 31 yards (C.Robertson).
19,T.Lewis,Tommylee Lewis,NO,WR,19.25,52,reception,0,0,2017,REG,1,2017091100,2695,"(3:50) D.Brees pass deep right to T.Lewis to MIN 8 for 52 yards (T.Waynes). Penalty on MIN-T.Waynes, Defensive Pass Interference, declined."
20,T.Taylor,Taywan Taylor,TEN,WR,21.44,42,reception,0,0,2017,REG,2,2017091703,2774,(4:23) M.Mariota pass deep left to T.Taylor to JAX 7 for 42 yards (A.Bouye).
21,T.Coleman,Tevin Coleman,ATL,RB,21.05,35,rush,0,0,2017,REG,2,2017091713,1331,(7:14) T.Coleman right tackle pushed ob at ATL 44 for 35 yards (H.Clinton-Dix).
22,T.Gurley,Todd Gurley,LA,RB,20.93,28,reception,0,0,2017,REG,2,2017091711,1622,(6:23) (Shotgun) J.Goff pass short middle to T.Gurley ran ob at WAS 29 for 28 yards (M.Nicholson).
23,A.Green,A.J. Green,CIN,WR,20.5,50,reception,0,0,2017,REG,2,2017091400,,(1:19) A.Dalton pass deep middle to A.Green to HST 14 for 50 yards (J.Joseph).
24,K.Hunt,Kareem Hunt,KC,RB,20.17,53,rush,1,1,2017,REG,2,2017091704,2617,"(1:30) (Shotgun) K.Hunt up the middle for 53 yards, TOUCHDOWN. PENALTY on KC-T.Kelce, Taunting, 15 yards, enforced between downs."
25,M.Bryant,Martavis Bryant,PIT,WR,20.15,27,reception,1,0,2017,REG,2,2017091706,637,"(3:10) (Shotgun) B.Roethlisberger pass short right to M.Bryant for 27 yards, TOUCHDOWN."
26,J.Richard,Jalen Richard,OAK,RB,20.07,52,rush,1,0,2017,REG,2,2017091709,2844,"(12:59) (Shotgun) J.Richard right end for 52 yards, TOUCHDOWN."
27,T.Gurley,Todd Gurley,LA,RB,19.98,18,rush,0,0,2017,REG,2,2017091711,2510,(9:28) T.Gurley left end ran ob at WAS 18 for 18 yards (Z.Brown).
28,C.Hyde,Carlos Hyde,SF,RB,19.96,61,rush,0,0,2017,REG,2,2017091712,,(3:54) C.Hyde left tackle pushed ob at SEA 22 for 61 yards (J.Lane).
29,V.Bolden,Victor Bolden,SF,WR,19.92,34,kickoff ret,0,0,2017,REG,2,2017091712,951,B.Walsh kicks 67 yards from SEA 35 to SF -2. V.Bolden pushed ob at SF 32 for 34 yards (K.Chancellor).
30,J.Nelson,J.J. Nelson,ARI,WR,19.9,45,reception,1,0,2017,REG,2,2017091702,3336,"(7:47) (Run formation) C.Palmer pass deep middle to J.Nelson for 45 yards, TOUCHDOWN."
31,M.Mariota,Marcus Mariota,TEN,QB,19.9,7,rush,0,0,2017,REG,2,2017091703,1731,(1:09) (Shotgun) M.Mariota scrambles right end ran ob at JAX 43 for 7 yards (M.Jack).
32,M.Bryant,Martavis Bryant,PIT,WR,19.8,51,reception,0,0,2017,REG,2,2017091706,2712,"(7:01) (No Huddle, Shotgun) B.Roethlisberger pass deep left to M.Bryant to MIN 11 for 51 yards (T.Waynes). Penalty on MIN-T.Johnson, Defensive Offside, declined."
33,K.Stills,Kenny Stills,MIA,WR,19.8,29,reception,1,0,2017,REG,2,2017091708,2174,"(12:15) (Shotgun) J.Cutler pass deep right to K.Stills for 29 yards, TOUCHDOWN."
34,M.Bryant,Martavis Bryant,PIT,WR,19.74,7,rush,0,0,2017,REG,2,2017091706,,(6:07) Reverse. First handoff went to 26-Bell. (Shotgun) M.Bryant left end ran ob at MIN 31 for 7 yards (A.Sendejo).
35,S.Shepard,Sterling Shepard,NYG,WR,19.68,12,rush,0,0,2017,REG,2,2017091800,593,(4:00) S.Shepard right end to NYG 37 for 12 yards (G.Quin). End Around.
36,J.Agnew,Jamal Agnew,DET,CB,19.66,88,punt ret,1,0,2017,REG,2,2017091800,2722,"(13:17) B.Wing punts 60 yards to DET 12, Center-Z.DeOssie. J.Agnew for 88 yards, TOUCHDOWN."
37,A.Brown,Antonio Brown,PIT,WR,19.62,26,reception,0,0,2017,REG,2,2017091706,3822,"(6:49) (No Huddle, Shotgun) B.Roethlisberger pass short left to A.Brown pushed ob at MIN 45 for 26 yards (A.Sendejo)."
38,R.Mcclain,Robert McClain,TB,CB,19.62,47,int,1,0,2017,REG,2,2017091707,1471,"(4:21) (Shotgun) M.Glennon pass short left intended for J.Bellamy INTERCEPTED by R.McClain [G.McCoy] at CHI 47. R.McClain for 47 yards, TOUCHDOWN. The Replay Official reviewed the runner was in bounds ruling, and the play was Upheld. The ruling on the field was confirmed."
39,P.Dorsett,Phillip Dorsett,NE,WR,19.58,7,rush,0,0,2017,REG,2,2017091705,820,(4:09) (Shotgun) P.Dorsett left end ran ob at NE 40 for 7 yards (S.Moore).
40,W.Jackson,William Jackson,CIN,CB,21.52,75,int,1,0,2017,REG,3,2017092411,1173,"(10:20) (Shotgun) A.Rodgers pass short left intended for J.Nelson INTERCEPTED by W.Jackson at CIN 25. W.Jackson for 75 yards, TOUCHDOWN."
41,T.Hill,Tyreek Hill,KC,WR,21.17,30,reception,1,0,2017,REG,3,2017092412,204,"(12:09) (Shotgun) A.Smith pass deep right to T.Hill for 30 yards, TOUCHDOWN."
