,rank,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
43,4,J.Wright,Jarius Wright,MIN,WR,17.98,4,rush,0,0,2017,POST,20,2018012101,1292,2,07:54,(7:54) J.Wright left end to MIN 43 for 4 yards (M.Kendricks).
44,5,J.Ajayi,Jay Ajayi,PHI,RB,17.94,11,reception,0,0,2017,POST,20,2018012101,1871,2,00:29,(:29) (Shotgun) N.Foles pass short left to J.Ajayi ran ob at PHI 31 for 11 yards (H.Smith).
45,6,K.Cole,Keelan Cole,JAX,WR,17.9,26,reception,0,0,2017,POST,20,2018012100,1467,2,04:11,(4:11) (Shotgun) B.Bortles pass deep right to K.Cole pushed ob at NE 47 for 26 yards (M.Butler).
46,7,J.McKinnon,Jerick McKinnon,MIN,RB,17.88,10,rush,0,0,2017,POST,20,2018012101,183,1,11:21,(11:21) (Shotgun) J.McKinnon left end pushed ob at PHI 29 for 10 yards (R.Darby).
47,8,N.Agholor,Nelson Agholor,PHI,WR,17.8,11,reception,0,0,2017,POST,20,2018012101,276,1,10:14,(10:14) (Shotgun) N.Foles pass short right to N.Agholor to PHI 36 for 11 yards (T.Newman).
48,9,K.Rudolph,Kyle Rudolph,MIN,TE,17.69,25,reception,1,0,2017,POST,20,2018012101,225,1,10:20,"(10:20) (Shotgun) C.Keenum pass deep left to K.Rudolph for 25 yards, TOUCHDOWN."
49,10,D.Lewis,Dion Lewis,NE,RB,17.61,18,rush,0,0,2017,POST,20,2018012100,3962,4,01:38,(1:38) D.Lewis left end to JAX 38 for 18 yards (P.Posluszny).
50,11,M.Lee,Marqise Lee,JAX,WR,17.59,18,reception,0,0,2017,POST,20,2018012100,2584,3,03:21,(3:21) (Shotgun) B.Bortles pass short left to M.Lee pushed ob at JAX 34 for 18 yards (M.Butler).
51,12,J.Ajayi,Jay Ajayi,PHI,RB,17.51,16,rush,0,0,2017,POST,20,2018012101,3504,4,04:24,(4:24) J.Ajayi left end pushed ob at PHI 34 for 16 yards (A.Harris).
52,13,K.Barner,Kenjon Barner,PHI,RB,17.28,10,punt ret,0,0,2017,POST,20,2018012101,1046,2,12:07,"(12:07) R.Quigley punts 47 yards to PHI 20, Center-J.Overbaugh. K.Barner to PHI 30 for 10 yards (A.Harris)."
53,14,D.Amendola,Danny Amendola,NE,WR,17.12,20,reception,0,0,2017,POST,20,2018012100,190,1,11:49,(11:49) (Shotgun) T.Brady pass deep left to D.Amendola ran ob at JAX 10 for 20 yards.
54,15,A.Jeffery,Alshon Jeffery,PHI,WR,17.08,53,reception,1,0,2017,POST,20,2018012101,1639,2,01:18,"(1:18) (Shotgun) N.Foles pass deep right to A.Jeffery for 53 yards, TOUCHDOWN."
55,16,J.Wright,Jarius Wright,MIN,WR,16.88,33,reception,0,0,2017,POST,20,2018012101,2319,3,07:53,(7:53) (No Huddle) C.Keenum pass deep left to J.Wright ran ob at PHI 18 for 33 yards.
56,17,L.Fournette,Leonard Fournette,JAX,RB,16.81,1,rush,0,0,2017,POST,20,2018012100,2043,3,13:41,(13:41) L.Fournette left end to JAX 48 for 1 yard (T.Flowers).
57,18,T.Yeldon,T.J. Yeldon,JAX,RB,16.65,12,rush,0,0,2017,POST,20,2018012100,1179,2,08:35,(8:35) (Shotgun) T.Yeldon left end pushed ob at NE 6 for 12 yards (D.McCourty).
58,19,T.Smith,Torrey Smith,PHI,WR,16.61,41,reception,1,0,2017,POST,20,2018012101,2178,3,10:13,"(10:13) N.Foles pass deep left to T.Smith for 41 yards, TOUCHDOWN."
