,rank,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
21,2,S.Diggs,Stefon Diggs,MIN,WR,22.5,44,reception,0,0,2016,REG,2,2016091813,1730,2,02:36,(2:36) S.Bradford pass deep right to S.Diggs to GB 32 for 44 yards (D.Randall).
22,3,M.Goodwin,Marquise Goodwin,BUF,WR,22.25,84,reception,1,1,2016,REG,2,2016091500,656,1,05:26,"(5:26) (Shotgun) T.Taylor pass deep right to M.Goodwin for 84 yards, TOUCHDOWN. Caught near sideline at NYJ 30. PENALTY on NYJ-S.Richardson, Taunting, 15 yards, enforced between downs."
23,4,T.Benjamin,Travis Benjamin,LAC,WR,22.17,45,reception,1,0,2016,REG,2,2016091812,2783,3,02:57,"(2:57) (Shotgun) P.Rivers pass deep right to T.Benjamin for 45 yards, TOUCHDOWN."
24,5,T.Ginn,Ted Ginn,CAR,WR,22.11,52,reception,0,0,2016,REG,2,2016091800,2987,3,07:50,"(7:50) C.Newton pass deep right to T.Ginn pushed ob at SF 23 for 52 yards (T.Brock). San Francisco challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)"
25,6,I.Crowell,Isaiah Crowell,CLE,RB,21.97,85,rush,1,0,2016,REG,2,2016091801,504,1,06:58,"(6:58) I.Crowell left guard for 85 yards, TOUCHDOWN."
26,7,D.Murray,DeMarco Murray,TEN,RB,21.35,67,rush,0,0,2016,REG,2,2016091802,1506,2,07:27,(7:27) D.Murray up the middle to DET 26 for 67 yards (D.Slay).
27,8,D.Johnson,David Johnson,ARI,RB,21.31,58,reception,0,0,2016,REG,2,2016091808,2776,3,10:01,(10:01) C.Palmer pass short right to D.Johnson pushed ob at TB 17 for 58 yards (B.Grimes).
28,9,M.Cooper,Marcus Cooper,ARI,DB,21.07,60,int,1,0,2016,REG,2,2016091808,3060,3,05:15,"(5:15) (Shotgun) J.Winston pass short left intended for C.Sims INTERCEPTED by M.Cooper (J.Mauro) at ARI 40. M.Cooper for 60 yards, TOUCHDOWN."
29,10,T.Benjamin,Travis Benjamin,LAC,WR,20.84,43,reception,0,0,2016,REG,2,2016091812,942,2,12:05,(12:05) (Shotgun) P.Rivers pass deep right to T.Benjamin pushed ob at JAX 13 for 43 yards (T.Gipson).
30,11,T.Benjamin,Travis Benjamin,LAC,WR,20.68,12,punt ret,0,0,2016,REG,2,2016091812,2362,3,09:52,"(9:52) B.Nortman punts 56 yards to SD 7, Center-C.Tinker. T.Benjamin ran ob at SD 19 for 12 yards (B.Koyack)."
31,12,D.Thomas,Demaryius Thomas,DEN,WR,20.64,44,reception,0,0,2016,REG,2,2016091810,447,1,07:00,(7:00) T.Siemian pass short left to D.Thomas to IND 10 for 44 yards (M.Adams).
32,13,T.Hill,Tyreek Hill,KC,WR,20.54,16,punt ret,0,0,2016,REG,2,2016091803,675,1,04:33,"(4:33) S.Lechler punts 62 yards to KC 20, Center-J.Weeks. T.Hill pushed ob at KC 36 for 16 yards (B.Peters)."
33,14,V.McDonald,Vance McDonald,SF,TE,20.54,75,reception,1,0,2016,REG,2,2016091800,4045,4,08:03,"(8:03) (No Huddle, Shotgun) B.Gabbert pass short left to V.McDonald for 75 yards, TOUCHDOWN."
34,15,C.Michael,Christine Michael,SEA,RB,20.33,16,rush,0,0,2016,REG,2,2016091809,2535,3,05:47,(5:47) (Shotgun) C.Michael right end pushed ob at SEA 36 for 16 yards (A.Ogletree).
35,16,T.Lockett,Tyler Lockett,SEA,WR,20.31,35,reception,0,0,2016,REG,2,2016091809,646,1,04:59,(4:59) (Shotgun) R.Wilson pass deep left to T.Lockett to LA 34 for 35 yards (M.Alexander).
36,17,A.Humphries,Adam Humphries,TB,WR,20.31,25,punt ret,0,0,2016,REG,2,2016091808,4319,4,01:18,"(1:18) D.Butler punts 44 yards to TB 34, Center-K.Canaday. A.Humphries pushed ob at ARI 41 for 25 yards (J.Bethel)."
37,18,S.Coates,Sammie Coates,PIT,WR,20.31,53,reception,0,0,2016,REG,2,2016091806,2943,3,07:12,(7:12) (Shotgun) B.Roethlisberger pass deep right to S.Coates to CIN 9 for 53 yards (D.Dennard).
38,19,T.Williams,Tyrell Williams,LAC,WR,20.23,44,reception,1,0,2016,REG,2,2016091812,2191,3,11:06,"(11:06) (Shotgun) P.Rivers pass short right to Ty.Williams for 44 yards, TOUCHDOWN."
39,20,F.Whittaker,Fozzy Whittaker,CAR,RB,20.15,24,reception,0,0,2016,REG,2,2016091800,1055,2,14:26,"(14:26) (No Huddle, Shotgun) C.Newton pass short right to F.Whittaker pushed ob at SF 47 for 24 yards (A.Brooks)."
40,1,D.Jones,Deion Jones,ATL,OLB,21.72,90,int,1,0,2016,REG,3,2016092600,3455,4,13:51,"(13:51) (Shotgun) D.Brees pass short right intended for M.Thomas INTERCEPTED by D.Jones (B.Poole) at ATL 10. D.Jones for 90 yards, TOUCHDOWN."
41,2,S.Coates,Sammie Coates,PIT,WR,21.27,41,reception,0,0,2016,REG,3,2016092510,1051,2,11:12,"(11:12) (No Huddle, Shotgun) B.Roethlisberger pass deep right to S.Coates to PHI 36 for 41 yards (R.McLeod)."
42,3,M.Sherels,Marcus Sherels,MIN,CB,21.17,54,punt ret,1,0,2016,REG,3,2016092501,1708,2,03:37,"(3:37) A.Lee punts 48 yards to MIN 46, Center-J.Jansen. M.Sherels for 54 yards, TOUCHDOWN."
43,4,J.Howard,Jordan Howard,CHI,RB,21.07,36,rush,0,0,2016,REG,3,2016092513,1103,2,11:11,(11:11) J.Howard right end pushed ob at DAL 39 for 36 yards (J.Wilcox).
44,5,C.Michael,Christine Michael,SEA,RB,21.03,41,rush,1,0,2016,REG,3,2016092508,118,1,14:24,"(14:24) C.Michael left tackle for 41 yards, TOUCHDOWN."
45,6,D.Sproles,Darren Sproles,PHI,RB,21.03,40,reception,0,0,2016,REG,3,2016092510,344,1,07:31,(7:31) C.Wentz pass short left to D.Sproles pushed ob at PIT 14 for 40 yards (R.Golden).
46,7,P.Peterson,Patrick Peterson,ARI,CB,20.95,0,int,0,0,2016,REG,3,2016092500,1313,2,14:14,(14:14) (Shotgun) T.Taylor pass deep right intended for M.Goodwin INTERCEPTED by P.Peterson at ARI 10. P.Peterson ran ob at ARI 10 for no gain. Intercepted along sideline.
47,8,D.Jackson,DeSean Jackson,WAS,WR,20.95,44,reception,1,0,2016,REG,3,2016092506,1726,2,03:49,"(3:49) (Shotgun) K.Cousins pass deep middle to D.Jackson for 44 yards, TOUCHDOWN. The Replay Official reviewed the pass completion ruling, and the play was Upheld. The ruling on the field stands."
48,9,J.Brown,John Brown,ARI,WR,20.93,51,kickoff ret,0,0,2016,REG,3,2016092500,4957,4,,C.Schmidt kicks 45 yards from BUF 20 to ARI 35. Jo.Brown pushed ob at BUF 14 for 51 yards (J.Meeks).
49,10,D.Baldwin,Doug Baldwin,SEA,WR,20.9,59,reception,0,0,2016,REG,3,2016092508,1360,2,08:48,(8:48) (Shotgun) R.Wilson pass deep middle to D.Baldwin to SF 18 for 59 yards (E.Reid).
50,11,J.Hill,Jeremy Hill,CIN,RB,20.64,50,rush,0,0,2016,REG,3,2016092502,227,1,12:05,(12:05) J.Hill left tackle to DEN 3 for 50 yards (D.Stewart).
51,12,L.McCoy,LeSean McCoy,BUF,RB,20.37,6,rush,0,0,2016,REG,3,2016092500,838,1,02:25,(2:25) (Shotgun) L.McCoy left end pushed ob at ARI 47 for 6 yards (K.Minter).
52,13,L.McCoy,LeSean McCoy,BUF,RB,20.33,24,rush,1,0,2016,REG,3,2016092500,1017,1,00:59,"(:59) (No Huddle, Shotgun) L.McCoy up the middle for 24 yards, TOUCHDOWN."
53,14,J.Brissett,Jacoby Brissett,NE,QB,20.33,27,rush,1,0,2016,REG,3,2016092200,860,1,02:01,"(2:01) J.Brissett right end for 27 yards, TOUCHDOWN."
54,15,K.Alexander,Kwon Alexander,TB,MLB,20.23,38,int,1,0,2016,REG,3,2016092509,442,1,08:54,"(8:54) (Shotgun) C.Keenum pass short right intended for T.Austin INTERCEPTED by K.Alexander at LA 38. K.Alexander for 38 yards, TOUCHDOWN."
55,16,S.Roberts,Seth Roberts,OAK,WR,20.15,19,reception,1,0,2016,REG,3,2016092507,1967,2,00:40,"(:40) (No Huddle, Shotgun) D.Carr pass to S.Roberts for 19 yards, TOUCHDOWN."
56,17,J.Marshall,Jalin Marshall,NYJ,WR,20.13,34,kickoff ret,0,0,2016,REG,3,2016092512,36,1,,C.Santos kicks 60 yards from KC 35 to NYJ 5. J.Marshall ran ob at NYJ 39 for 34 yards (D.Harris).
57,18,J.Crowder,Jamison Crowder,WAS,WR,20.07,55,reception,1,0,2016,REG,3,2016092506,2650,3,09:55,"(9:55) (Shotgun) K.Cousins pass short left to J.Crowder for 55 yards, TOUCHDOWN."
58,19,P.Dorsett,Phillip Dorsett,IND,WR,20.03,18,reception,0,0,2016,REG,3,2016092511,148,1,12:14,(12:14) (Shotgun) A.Luck pass short left to P.Dorsett ran ob at SD 35 for 18 yards (B.Flowers).
59,20,D.Henry,Derrick Henry,TEN,RB,19.98,13,rush,0,0,2016,REG,3,2016092507,2900,3,01:25,(1:25) D.Henry left end pushed ob at TEN 23 for 13 yards (K.Joseph).
60,1,W.Fuller,Will Fuller,HOU,WR,21.62,67,punt ret,1,0,2016,REG,4,2016100204,2968,3,01:12,"(1:12) B.Kern punts 45 yards to HOU 33, Center-B.Brinkley. W.Fuller for 67 yards, TOUCHDOWN. (The Punt Hangtime Was 3.65 seconds.)"
61,2,S.Coates,Sammie Coates,PIT,WR,21.6,47,reception,0,0,2016,REG,4,2016100212,229,1,12:28,(12:28) B.Roethlisberger pass deep right to S.Coates to KC 48 for 47 yards (M.Peters).
62,3,A.Roberts,Andre Roberts,DET,WR,21.58,85,punt ret,1,0,2016,REG,4,2016100203,4230,4,02:12,"(2:12) (Punt formation) P.O'Donnell punts 48 yards to DET 15, Center-P.Scales. A.Roberts for 85 yards, TOUCHDOWN. Penalty on CHI, Illegal Formation, declined."
63,4,T.Hill,Tyreek Hill,KC,WR,21.31,6,punt ret,0,1,2016,REG,4,2016100212,1377,2,11:20,"(11:20) (Punt formation) J.Berry punts 52 yards to KC 22, Center-G.Warren. T.Hill for 78 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on KC-D.Harris, Illegal Block Above the Waist, 10 yards, enforced at KC 28."
64,5,J.Jones,Julio Jones,ATL,WR,21.09,53,reception,0,0,2016,REG,4,2016100201,1236,2,08:46,(8:46) (Shotgun) M.Ryan pass deep right to J.Jones to CAR 15 for 53 yards (K.Coleman).
65,6,J.Jones,Julio Jones,ATL,WR,21.09,75,reception,1,0,2016,REG,4,2016100201,3569,4,03:58,"(3:58) M.Ryan pass short middle to J.Jones for 75 yards, TOUCHDOWN."
66,7,B.Quick,Brian Quick,LA,WR,20.76,65,reception,1,0,2016,REG,4,2016100209,696,1,02:11,"(2:11) (Shotgun) C.Keenum pass short right to B.Quick for 65 yards, TOUCHDOWN."
67,8,M.Wallace,Mike Wallace,BAL,WR,20.74,3,rush,0,0,2016,REG,4,2016100202,935,1,01:16,(1:16) M.Wallace left end pushed ob at OAK 44 for 3 yards (K.Mack). End Around
68,9,J.Jones,Julio Jones,ATL,WR,20.72,43,reception,0,0,2016,REG,4,2016100201,750,1,01:51,(1:51) M.Ryan pass deep right to J.Jones ran ob at CAR 32 for 43 yards (D.Worley) [C.Johnson].
69,10,A.Green,A.J. Green,CIN,WR,20.66,43,reception,0,0,2016,REG,4,2016092900,2250,3,09:28,(9:28) A.Dalton pass deep left to A.Green to MIA 16 for 43 yards (T.Lippett; R.Jones).
70,11,K.Drake,Kenyan Drake,MIA,RB,20.64,17,kickoff ret,0,0,2016,REG,4,2016092900,343,1,,M.Nugent kicks 48 yards from 50 to MIA 2. K.Drake pushed ob at MIA 19 for 17 yards (J.Shaw).
71,12,E.Royal,Eddie Royal,CHI,WR,20.62,64,reception,0,0,2016,REG,4,2016100203,3009,3,05:42,(5:42) (Shotgun) B.Hoyer pass deep middle to E.Royal pushed ob at DET 12 for 64 yards (G.Quin).
72,13,T.Benjamin,Travis Benjamin,LAC,WR,20.6,10,punt ret,0,1,2016,REG,4,2016100210,3038,3,03:48,"(3:48) T.Morstead punts 59 yards to SD 11, Center-J.Drescher. T.Benjamin ran ob at SD 21 for 10 yards (N.Stupar). PENALTY on NO-D.Harris, Player Out of Bounds on Punt, 5 yards, enforced at SD 21."
73,14,T.Benjamin,Travis Benjamin,LAC,WR,20.54,25,reception,0,0,2016,REG,4,2016100210,1351,2,06:55,(6:55) (Shotgun) P.Rivers pass deep right to T.Benjamin ran ob at NO 16 for 25 yards (B.Webb) [D.Tapp].
74,15,P.Perkins,Paul Perkins,NYG,RB,20.43,67,reception,0,0,2016,REG,4,2016100300,3063,4,15:00,(15:00) (Shotgun) E.Manning pass short right to P.Perkins to MIN 4 for 67 yards (A.Sendejo).
75,16,D.Heyward-Bey,Darrius Heyward-Bey,PIT,WR,20.33,31,reception,1,0,2016,REG,4,2016100212,544,1,07:34,"(7:34) (Shotgun) B.Roethlisberger pass deep left to D.Heyward-Bey for 31 yards, TOUCHDOWN."
76,17,B.LaFell,Brandon LaFell,CIN,WR,20.09,23,reception,0,0,2016,REG,4,2016092900,2688,3,00:59,(:59) A.Dalton pass deep right to B.LaFell ran ob at MIA 20 for 23 yards.
77,18,T.Lewis,Tommylee Lewis,NO,WR,20.05,3,rush,0,0,2016,REG,4,2016100210,2463,3,10:22,(10:22) T.Lewis right end pushed ob at SD 5 for 3 yards (D.McCoil).
78,19,J.Richard,Jalen Richard,OAK,RB,19.92,47,punt ret,0,0,2016,REG,4,2016100202,852,1,01:49,"(1:49) (Punt formation) S.Koch punts 47 yards to OAK 47, Center-M.Cox. J.Richard pushed ob at BAL 6 for 47 yards (S.Koch)."
79,20,K.Stills,Kenny Stills,MIA,WR,19.8,74,reception,1,0,2016,REG,4,2016092900,389,1,09:15,"(9:15) (Shotgun) R.Tannehill pass deep left to K.Stills for 74 yards, TOUCHDOWN."
80,1,T.Coleman,Tevin Coleman,ATL,RB,22.25,49,reception,0,0,2016,REG,5,2016100907,3176,4,11:01,(11:01) (Shotgun) M.Ryan pass deep right to T.Coleman pushed ob at DEN 26 for 49 yards (T.Ward) [S.Williams].
81,2,J.Howard,Jordan Howard,CHI,RB,22.03,57,rush,0,0,2016,REG,5,2016100903,1540,2,06:08,(6:08) (Shotgun) J.Howard right end to IND 18 for 57 yards (M.Adams). IND-M.Adams was injured during the play.
82,3,S.Coates,Sammie Coates,PIT,WR,21.78,72,reception,1,0,2016,REG,5,2016100906,323,1,10:25,"(10:25) (Shotgun) B.Roethlisberger pass deep right to S.Coates for 72 yards, TOUCHDOWN."
83,4,T.Benjamin,Travis Benjamin,LAC,WR,21.54,54,reception,0,0,2016,REG,5,2016100910,1476,2,07:13,(7:13) (Shotgun) P.Rivers pass short right to T.Benjamin pushed ob at OAK 26 for 54 yards (R.Nelson).
84,5,T.Austin,Tavon Austin,LA,WR,21.5,9,rush,0,0,2016,REG,5,2016100909,3265,4,08:17,(8:17) T.Austin left end ran ob at BUF 10 for 9 yards (C.Graham).
85,6,E.Elliott,Ezekiel Elliott,DAL,RB,21.5,60,rush,1,0,2016,REG,5,2016100908,2224,3,11:47,"(11:47) E.Elliott right guard for 60 yards, TOUCHDOWN."
86,7,T.Pryor,Terrelle Pryor,CLE,WR,20.99,2,rush,0,0,2016,REG,5,2016100901,3986,4,03:51,(3:51) (Shotgun) T.Pryor scrambles left end ran ob at NE 48 for 2 yards (P.Chung).
87,8,M.Mariota,Marcus Mariota,TEN,QB,20.95,21,rush,0,0,2016,REG,5,2016100904,1684,2,01:28,(1:28) (Shotgun) M.Mariota scrambles right end to MIA 27 for 21 yards (I.Abdul-Quddus).
88,9,T.Coleman,Tevin Coleman,ATL,RB,20.88,16,rush,0,0,2016,REG,5,2016100907,1505,2,08:14,(8:14) T.Coleman right end pushed ob at ATL 27 for 16 yards (D.Stewart).
89,10,B.Gabbert,Blaine Gabbert,SF,QB,20.76,9,rush,0,0,2016,REG,5,2016100600,1499,2,06:34,"(6:34) (No Huddle, Shotgun) B.Gabbert scrambles left end ran ob at ARI 38 for 9 yards (T.Mathieu)."
90,11,C.Hogan,Chris Hogan,NE,WR,20.68,43,reception,0,0,2016,REG,5,2016100901,1100,2,14:29,(14:29) T.Brady pass deep left to C.Hogan to CLE 7 for 43 yards (I.Campbell).
91,12,J.Haden,Joe Haden,CLE,CB,20.5,5,punt ret,0,0,2016,REG,5,2016100901,3077,3,02:36,"(2:36) (Punt formation) R.Allen punts 46 yards to CLE 15, Center-J.Cardona. J.Haden to CLE 20 for 5 yards (N.Ebner)."
92,13,T.Williams,Tyrell Williams,LAC,WR,20.5,29,reception,1,0,2016,REG,5,2016100910,1089,2,13:13,"(13:13) P.Rivers pass deep middle to Ty.Williams for 29 yards, TOUCHDOWN."
93,14,M.Sherels,Marcus Sherels,MIN,CB,20.37,79,punt ret,1,0,2016,REG,5,2016100905,1488,2,09:05,"(9:05) (Punt formation) S.Lechler punts 57 yards to MIN 21, Center-J.Weeks. M.Sherels for 79 yards, TOUCHDOWN."
94,15,T.Hilton,T.Y. Hilton,IND,WR,20.31,35,reception,1,0,2016,REG,5,2016100903,3755,4,03:51,"(3:51) (No Huddle, Shotgun) A.Luck pass deep middle to T.Hilton for 35 yards, TOUCHDOWN [S.Acho]."
95,16,T.Williams,Tyrell Williams,LAC,WR,20.29,50,reception,0,0,2016,REG,5,2016100910,2245,3,11:19,"(11:19) P.Rivers pass deep middle to Ty.Williams to OAK 25 for 50 yards (D.Amerson). Penalty on OAK-S.Smith, Defensive Holding, declined."
96,17,N.Robey-Coleman,Nickell Robey-Coleman,BUF,DB,20.13,41,int,1,0,2016,REG,5,2016100909,2682,3,04:05,"(4:05) (Shotgun) C.Keenum pass short right intended for P.Cooper INTERCEPTED by N.Robey-Coleman at LA 41. N.Robey-Coleman for 41 yards, TOUCHDOWN."
97,18,J.Grant,Jakeem Grant,MIA,WR,20,74,punt ret,1,0,2016,REG,5,2016100904,1033,2,12:44,"(12:44) (Punt formation) B.Kern punts 51 yards to MIA 26, Center-B.Brinkley. J.Grant for 74 yards, TOUCHDOWN."
98,19,M.Cooper,Marcus Cooper,ARI,CB,19.9,12,int,0,0,2016,REG,5,2016100600,3315,4,15:00,(15:00) (Shotgun) B.Gabbert pass short left intended for J.Kerley INTERCEPTED by M.Cooper at SF 36. M.Cooper pushed ob at SF 24 for 12 yards (G.Celek).
99,20,M.Gordon,Melvin Gordon,LAC,RB,19.9,24,rush,0,0,2016,REG,5,2016100910,2280,3,10:53,(10:53) M.Gordon right end pushed ob at OAK 1 for 24 yards (S.Smith).
100,1,M.Wallace,Mike Wallace,BAL,WR,22.34,70,reception,0,1,2016,REG,6,2016101606,3322,3,02:10,"(2:10) (Shotgun) J.Flacco pass deep right to M.Wallace to NYG 5 for 70 yards (J.Jenkins) [J.Pierre-Paul]. PENALTY on NYG-J.Jenkins, Face Mask (15 Yards), 2 yards, enforced at NYG 5."
101,2,W.Smallwood,Wendell Smallwood,PHI,RB,21.93,86,kickoff ret,1,0,2016,REG,6,2016101608,1344,2,,"D.Hopkins kicks 66 yards from WAS 20 to PHI 14. W.Smallwood for 86 yards, TOUCHDOWN."
102,3,B.Cooks,Brandin Cooks,NO,WR,21.89,87,reception,1,0,2016,REG,6,2016101605,937,1,02:43,"(2:43) (Shotgun) D.Brees pass deep right to B.Cooks for 87 yards, TOUCHDOWN. Pass 33, YAC 54"
103,4,M.Mariota,Marcus Mariota,TEN,QB,21.5,41,rush,0,0,2016,REG,6,2016101607,51,1,15:00,(15:00) (Shotgun) M.Mariota left end pushed ob at CLE 34 for 41 yards (J.Poyer).
104,5,M.Gillislee,Mike Gillislee,BUF,RB,21.46,44,rush,1,0,2016,REG,6,2016101600,4206,4,05:47,"(5:47) (Shotgun) M.Gillislee left guard for 44 yards, TOUCHDOWN."
105,6,L.Miller,Lamar Miller,HOU,RB,21.29,23,rush,0,0,2016,REG,6,2016101612,2088,3,12:19,(12:19) L.Miller left end pushed ob at HOU 41 for 23 yards (C.Geathers).
106,7,D.Heyward-Bey,Darrius Heyward-Bey,PIT,WR,21.13,60,rush,1,0,2016,REG,6,2016101603,602,1,05:52,"(5:52) D.Heyward-Bey right end for 60 yards, TOUCHDOWN."
107,8,O.Beckham,Odell Beckham,NYG,WR,21.03,75,reception,1,0,2016,REG,6,2016101606,3255,3,02:22,"(2:22) (Shotgun) E.Manning pass deep right to O.Beckham for 75 yards, TOUCHDOWN."
108,9,T.Hill,Tyreek Hill,KC,WR,21.01,50,punt ret,0,1,2016,REG,6,2016101609,2125,3,10:53,"(10:53) M.King punts 58 yards to KC 9, Center-J.Condo. T.Hill to OAK 41 for 50 yards (B.Trawick). PENALTY on OAK, Illegal Formation, 5 yards, enforced at OAK 41."
109,10,M.Gordon,Melvin Gordon,LAC,RB,20.93,48,rush,0,0,2016,REG,6,2016101300,1921,3,12:51,"(12:51) M.Gordon left tackle to DEN 6 for 48 yards (C.Harris Jr., D.Stewart)."
110,11,M.Jones,Matt Jones,WAS,RB,20.86,57,rush,0,0,2016,REG,6,2016101608,4006,4,01:27,(1:27) M.Jones left end to PHI 17 for 57 yards (R.McLeod).
111,12,O.Beckham,Odell Beckham,NYG,WR,20.74,66,reception,1,1,2016,REG,6,2016101606,4379,4,01:36,"(1:36) (No Huddle, Shotgun) E.Manning pass short middle to O.Beckham for 66 yards, TOUCHDOWN. BAL-T.Young was injured during the play.  PENALTY on NYG-O.Beckham, Unsportsmanlike Conduct, 15 yards, enforced between downs."
112,13,E.Elliott,Ezekiel Elliott,DAL,RB,20.74,25,rush,0,0,2016,REG,6,2016101610,2496,3,10:03,(10:03) E.Elliott right end pushed ob at GB 26 for 25 yards (L.Gunter).
113,14,R.Woods,Robert Woods,BUF,WR,20.74,6,rush,0,0,2016,REG,6,2016101600,1956,2,01:22,(1:22) R.Woods left tackle to SF 24 for 6 yards (E.Reid). End-around.
114,15,J.Nelson,J.J. Nelson,ARI,WR,20.72,14,rush,0,0,2016,REG,6,2016101700,1377,2,10:46,(10:46) J.Nelson left end pushed ob at NYJ 49 for 14 yards (S.Richardson).
115,16,D.Johnson,David Johnson,ARI,RB,20.62,58,rush,1,0,2016,REG,6,2016101700,326,1,10:03,"(10:03) (Shotgun) D.Johnson left end for 58 yards, TOUCHDOWN."
